Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-39,-32,-37,2
1,-37,-37,-38,2
1,-37,-35,-37,2
1,-37,-32,-38,2
1,-38,-35,-37,2
1,-37,-32,-42,2
1,-38,-32,-36,2
1,-37,-35,-38,2
1,-38,-34,-36,2
1,-35,-36,-37,2
1,-41,-35,-38,2
1,-43,-36,-37,2
1,-47,-35,-38,2
1,-41,-35,-38,2
1,-37,-35,-37,2
1,-37,-31,-38,2
1,-37,-34,-37,2
1,-37,-34,-37,2
1,-38,-35,-48,2
1,-37,-32,-43,2
1,-37,-35,-36,2
1,-37,-32,-37,2
1,-37,-37,-36,2
1,-35,-34,-37,2
1,-41,-35,-37,2
1,-41,-33,-37,2
1,-37,-36,-38,2
1,-36,-37,-38,2
1,-36,-32,-37,2
1,-39,-35,-37,2
1,-36,-32,-52,2
1,-37,-34,-52,2
1,-38,-32,-38,2
1,-37,-37,-38,2
1,-35,-35,-37,2
1,-38,-35,-37,2
1,-39,-35,-38,2
1,-36,-36,-38,2
1,-32,-31,-38,2
1,-39,-35,-38,2
1,-37,-34,-38,2
1,-35,-35,-37,2
1,-37,-34,-37,2
1,-37,-32,-38,2
1,-42,-35,-37,2
1,-32,-35,-37,2
1,-44,-35,-38,2
1,-38,-35,-37,2
1,-38,-35,-37,2
1,-42,-36,-37,2
1,-42,-35,-37,2
1,-36,-35,-38,2
1,-36,-35,-38,2
1,-38,-36,-36,2
1,-36,-43,-39,2
2,-35,-35,-37,2
2,-38,-32,-37,2
2,-36,-35,-38,2
2,-36,-36,-37,2
2,-37,-39,-38,2
2,-36,-35,-37,2
2,-38,-34,-37,2
2,-38,-32,-41,2
2,-38,-37,-38,2
2,-37,-34,-44,2
2,-38,-35,-52,2
2,-37,-31,-36,2
2,-37,-34,-36,2
2,-37,-35,-36,2
2,-36,-32,-37,2
2,-42,-37,-36,2
2,-38,-31,-36,2
2,-37,-37,-37,2
2,-36,-34,-36,2
2,-37,-35,-37,2
2,-37,-34,-36,2
2,-37,-35,-35,2
2,-39,-36,-36,2
2,-35,-34,-36,2
2,-42,-32,-36,2
2,-41,-35,-37,2
2,-32,-36,-36,2
2,-35,-34,-36,2
2,-42,-34,-37,2
2,-40,-35,-37,2
2,-38,-32,-36,2
2,-42,-37,-35,2
2,-35,-35,-36,2
2,-36,-35,-37,2
2,-40,-35,-36,2
2,-38,-39,-37,2
2,-37,-36,-37,2
2,-38,-38,-35,2
2,-36,-36,-36,2
2,-39,-32,-36,2
2,-38,-37,-36,2
2,-38,-35,-37,2
2,-38,-35,-43,2
2,-38,-37,-45,2
2,-37,-35,-36,2
2,-37,-35,-37,2
2,-37,-39,-37,2
2,-32,-35,-36,2
2,-40,-35,-37,2
2,-38,-35,-37,2
2,-36,-35,-36,2
2,-37,-35,-36,2
2,-37,-39,-37,2
2,-37,-35,-36,2
2,-38,-35,-48,2
2,-37,-35,-40,2
2,-38,-36,-36,2
2,-38,-35,-37,2
2,-39,-35,-36,2
2,-36,-36,-36,2
2,-38,-35,-36,2
2,-35,-34,-36,2
2,-35,-37,-36,2
2,-37,-37,-37,2
2,-38,-36,-36,2
2,-36,-35,-36,2
3,-37,-35,-38,2
3,-38,-34,-37,2
3,-37,-36,-36,2
3,-37,-36,-44,2
3,-38,-35,-39,2
3,-38,-35,-37,2
3,-37,-35,-36,2
3,-37,-39,-37,2
3,-37,-36,-36,2
3,-49,-35,-36,2
3,-41,-34,-38,2
3,-46,-37,-36,2
3,-38,-35,-37,2
3,-37,-35,-36,2
3,-37,-38,-37,2
3,-38,-35,-37,2
3,-37,-35,-42,2
3,-38,-34,-40,2
3,-39,-35,-47,2
3,-38,-36,-37,2
3,-37,-35,-37,2
3,-37,-33,-37,2
3,-38,-37,-36,2
3,-36,-34,-37,2
3,-43,-37,-36,2
3,-50,-38,-36,2
3,-37,-32,-36,2
3,-37,-35,-36,2
3,-40,-36,-35,2
3,-38,-35,-37,2
3,-38,-34,-36,2
3,-38,-35,-36,2
3,-38,-36,-42,2
3,-39,-36,-38,2
3,-39,-36,-38,2
3,-38,-35,-38,2
3,-37,-35,-37,2
3,-38,-39,-35,2
3,-43,-34,-37,2
3,-47,-38,-37,2
3,-40,-34,-37,2
3,-38,-36,-38,2
3,-37,-36,-38,2
3,-38,-35,-39,2
3,-38,-35,-38,2
3,-38,-35,-37,2
3,-38,-35,-38,2
3,-37,-36,-37,2
3,-42,-32,-38,2
3,-50,-36,-39,2
3,-44,-35,-37,2
3,-39,-35,-37,2
3,-36,-35,-36,2
3,-39,-35,-37,2
3,-36,-36,-37,2
3,-36,-36,-37,2
3,-36,-38,-37,2
3,-39,-36,-38,2
3,-38,-35,-45,2
3,-39,-35,-37,2
3,-38,-35,-44,2
3,-39,-36,-38,2
3,-38,-34,-36,2
3,-38,-39,-36,2
3,-38,-33,-37,2
3,-35,-35,-37,2
3,-40,-35,-37,2
