Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-43,-35,-41,1
1,-43,-35,-41,1
1,-43,-35,-41,1
1,-43,-35,-40,1
1,-43,-36,-41,1
1,-44,-35,-41,1
1,-44,-35,-41,1
1,-44,-35,-41,1
1,-43,-35,-41,1
1,-43,-35,-41,1
1,-43,-35,-41,1
1,-44,-36,-41,1
1,-43,-35,-41,1
1,-44,-35,-41,1
1,-43,-35,-41,1
1,-44,-35,-41,1
1,-43,-35,-42,1
1,-43,-35,-41,1
1,-43,-35,-41,1
1,-42,-35,-41,1
1,-43,-35,-41,1
1,-46,-35,-40,1
1,-45,-35,-43,1
1,-45,-36,-43,1
1,-45,-36,-41,1
1,-44,-35,-40,1
1,-45,-35,-41,1
1,-44,-35,-41,1
1,-44,-35,-42,1
1,-45,-35,-41,1
1,-45,-35,-41,1
1,-45,-35,-41,1
1,-45,-36,-41,1
1,-45,-35,-42,1
1,-44,-36,-41,1
1,-44,-36,-41,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-43,-35,-42,1
2,-42,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-42,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-42,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-35,-41,1
2,-43,-36,-42,1
2,-44,-36,-42,1
2,-43,-35,-42,1
2,-44,-36,-42,1
2,-43,-36,-41,1
