Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-42,-40,-35,1
1,-40,-39,-35,1
1,-42,-38,-32,1
1,-41,-39,-35,1
1,-41,-39,-32,1
1,-41,-37,-32,1
1,-41,-40,-35,1
1,-41,-38,-35,1
1,-41,-38,-35,1
1,-41,-38,-35,1
1,-41,-38,-35,1
1,-41,-39,-35,1
1,-41,-38,-34,1
1,-40,-39,-34,1
1,-41,-39,-34,1
1,-41,-39,-32,1
1,-41,-40,-34,1
1,-41,-39,-32,1
1,-42,-39,-34,1
1,-41,-37,-35,1
1,-41,-38,-35,1
1,-42,-38,-35,1
1,-41,-39,-35,1
1,-40,-38,-32,1
1,-41,-37,-35,1
1,-41,-38,-32,1
1,-41,-39,-32,1
1,-41,-39,-34,1
1,-41,-39,-34,1
1,-41,-38,-34,1
1,-41,-39,-32,1
1,-41,-38,-34,1
1,-41,-39,-32,1
1,-40,-39,-35,1
1,-42,-39,-32,1
1,-41,-39,-32,1
1,-41,-39,-34,1
1,-41,-39,-35,1
1,-41,-38,-34,1
1,-43,-39,-34,1
1,-40,-38,-35,1
1,-41,-39,-32,1
1,-43,-39,-32,1
1,-41,-39,-35,1
1,-41,-39,-35,1
1,-41,-39,-35,1
1,-43,-39,-35,1
1,-41,-39,-34,1
1,-41,-39,-35,1
2,-38,-49,-35,1
2,-39,-48,-35,1
2,-38,-49,-35,1
2,-38,-49,-32,1
2,-39,-49,-35,1
2,-38,-49,-35,1
2,-38,-49,-35,1
2,-38,-51,-32,1
2,-39,-49,-35,1
2,-38,-50,-32,1
2,-39,-49,-32,1
2,-38,-48,-35,1
2,-39,-50,-34,1
2,-38,-50,-34,1
2,-38,-50,-32,1
2,-39,-51,-35,1
2,-38,-50,-32,1
2,-38,-50,-35,1
2,-39,-49,-32,1
2,-38,-49,-32,1
2,-39,-49,-35,1
2,-38,-49,-35,1
2,-38,-49,-32,1
2,-38,-49,-32,1
2,-39,-50,-32,1
2,-38,-50,-32,1
2,-38,-51,-35,1
2,-39,-49,-32,1
2,-38,-49,-35,1
2,-39,-50,-34,1
2,-39,-49,-35,1
2,-38,-49,-32,1
2,-38,-50,-34,1
2,-38,-53,-35,1
2,-38,-51,-32,1
2,-39,-50,-35,1
2,-38,-47,-35,1
2,-39,-50,-35,1
2,-39,-50,-35,1
2,-39,-52,-35,1
2,-38,-51,-35,1
2,-39,-50,-35,1
2,-39,-51,-35,1
2,-39,-49,-32,1
2,-39,-47,-35,1
2,-39,-50,-35,1
2,-39,-49,-35,1
2,-38,-50,-35,1
2,-38,-49,-35,1
2,-39,-47,-32,1
2,-38,-48,-32,1
2,-38,-49,-32,1
2,-39,-49,-35,1
2,-39,-50,-35,1
2,-39,-50,-32,1
2,-39,-48,-32,1
2,-38,-49,-35,1
2,-39,-48,-35,1
2,-39,-48,-32,1
2,-39,-47,-35,1
2,-38,-49,-34,1
3,-40,-41,-34,1
3,-40,-40,-31,1
3,-40,-40,-34,1
3,-40,-41,-32,1
3,-40,-41,-32,1
3,-40,-41,-32,1
3,-40,-40,-32,1
3,-40,-40,-34,1
3,-40,-40,-34,1
3,-41,-42,-32,1
3,-40,-40,-32,1
3,-40,-40,-34,1
3,-38,-40,-32,1
3,-39,-40,-35,1
3,-40,-39,-34,1
3,-40,-40,-35,1
3,-41,-41,-34,1
3,-40,-41,-32,1
3,-40,-41,-34,1
3,-39,-39,-32,1
3,-41,-41,-32,1
3,-40,-40,-35,1
3,-40,-41,-33,1
3,-40,-41,-34,1
3,-40,-40,-34,1
3,-40,-41,-35,1
3,-40,-39,-35,1
3,-40,-39,-35,1
3,-38,-40,-32,1
3,-37,-40,-35,1
3,-40,-40,-32,1
3,-39,-40,-32,1
3,-38,-40,-31,1
3,-39,-39,-35,1
3,-40,-40,-35,1
3,-39,-39,-35,1
3,-39,-40,-35,1
3,-40,-39,-32,1
3,-39,-41,-34,1
3,-38,-39,-34,1
3,-39,-40,-35,1
3,-40,-41,-35,1
3,-39,-41,-35,1
3,-39,-40,-35,1
3,-39,-40,-32,1
3,-39,-41,-33,1
3,-39,-39,-35,1
3,-39,-40,-35,1
3,-39,-40,-35,1
3,-40,-39,-36,1
3,-39,-41,-35,1
3,-39,-41,-34,1
3,-40,-41,-32,1
3,-40,-41,-32,1
3,-40,-41,-34,1
3,-40,-40,-35,1
3,-40,-40,-32,1
3,-40,-41,-32,1
3,-39,-40,-34,1
3,-39,-40,-35,1
3,-40,-39,-32,1
4,-39,-37,-35,1
4,-38,-37,-39,1
4,-38,-37,-40,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-37,-39,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-37,-40,1
4,-38,-37,-39,1
4,-38,-38,-39,1
4,-38,-37,-39,1
4,-38,-38,-39,1
4,-38,-37,-39,1
4,-38,-38,-39,1
4,-38,-38,-40,1
4,-38,-38,-39,1
4,-38,-37,-39,1
4,-39,-37,-39,1
4,-38,-37,-40,1
4,-38,-37,-39,1
4,-38,-37,-39,1
4,-38,-37,-39,1
4,-38,-37,-39,1
4,-38,-37,-40,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-37,-39,1
4,-38,-38,-40,1
4,-38,-38,-40,1
4,-38,-38,-41,1
4,-37,-37,-40,1
4,-37,-38,-39,1
4,-38,-38,-40,1
4,-37,-38,-39,1
4,-38,-38,-40,1
4,-38,-37,-41,1
4,-37,-38,-40,1
4,-37,-38,-40,1
4,-38,-39,-41,1
4,-38,-38,-39,1
4,-38,-38,-40,1
4,-38,-38,-40,1
4,-38,-38,-40,1
4,-37,-38,-39,1
4,-38,-38,-40,1
4,-37,-38,-39,1
4,-37,-38,-40,1
4,-37,-38,-41,1
4,-38,-38,-39,1
4,-38,-38,-41,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-40,1
4,-39,-38,-40,1
4,-38,-39,-39,1
4,-38,-38,-41,1
4,-38,-38,-39,1
4,-38,-39,-41,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-39,1
4,-38,-38,-40,1
4,-38,-38,-39,1
4,-37,-38,-39,1
4,-38,-38,-39,1
4,-37,-38,-38,1
5,-45,-37,-38,1
5,-44,-38,-36,1
5,-44,-40,-36,1
5,-43,-40,-35,1
5,-43,-38,-35,1
5,-43,-40,-35,1
5,-45,-39,-35,1
5,-44,-40,-36,1
5,-44,-40,-35,1
5,-43,-39,-35,1
5,-43,-40,-35,1
5,-44,-39,-35,1
5,-44,-40,-35,1
5,-42,-41,-35,1
5,-43,-40,-36,1
5,-42,-40,-36,1
5,-42,-40,-35,1
5,-43,-39,-36,1
5,-43,-40,-37,1
5,-42,-39,-36,1
5,-42,-41,-36,1
5,-42,-41,-36,1
5,-42,-40,-35,1
5,-42,-40,-36,1
5,-42,-40,-36,1
5,-42,-40,-36,1
5,-41,-40,-35,1
5,-41,-38,-36,1
5,-42,-40,-35,1
5,-40,-41,-35,1
5,-40,-39,-35,1
5,-41,-39,-36,1
5,-42,-39,-35,1
5,-41,-39,-35,1
5,-42,-40,-36,1
5,-41,-39,-35,1
5,-42,-40,-36,1
5,-42,-39,-35,1
5,-41,-40,-35,1
5,-41,-38,-35,1
5,-41,-41,-35,1
5,-41,-40,-35,1
5,-41,-40,-35,1
5,-42,-39,-35,1
5,-42,-41,-36,1
5,-41,-40,-36,1
5,-41,-40,-35,1
5,-41,-40,-35,1
5,-41,-41,-35,1
5,-42,-40,-35,1
5,-42,-39,-36,1
5,-43,-40,-35,1
5,-42,-40,-36,1
5,-42,-40,-35,1
5,-42,-40,-35,1
5,-42,-40,-36,1
5,-42,-40,-36,1
5,-42,-41,-35,1
5,-41,-40,-36,1
5,-42,-40,-36,1
5,-42,-40,-36,1
5,-41,-40,-36,1
5,-41,-40,-36,1
5,-42,-40,-36,1
5,-42,-40,-36,1
5,-42,-41,-35,1
5,-41,-41,-36,1
5,-42,-40,-35,1
5,-41,-41,-35,1
5,-42,-40,-36,1
5,-42,-40,-36,1
5,-42,-40,-35,1
