Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-37,-42,-34,0
1,-37,-42,-32,0
1,-37,-42,-32,0
1,-36,-41,-34,0
1,-39,-42,-35,0
1,-37,-42,-31,0
1,-37,-41,-32,0
1,-38,-42,-34,0
1,-37,-42,-34,0
1,-37,-42,-32,0
1,-37,-42,-32,0
1,-37,-42,-35,0
1,-37,-41,-32,0
1,-37,-42,-32,0
1,-37,-41,-32,0
1,-37,-43,-32,0
1,-37,-41,-32,0
1,-37,-43,-32,0
1,-37,-41,-32,0
1,-37,-43,-32,0
1,-37,-42,-32,0
1,-37,-42,-34,0
1,-37,-43,-32,0
1,-37,-42,-34,0
1,-38,-42,-32,0
1,-37,-41,-34,0
1,-37,-42,-35,0
1,-37,-42,-34,0
1,-37,-42,-34,0
1,-37,-42,-35,0
1,-37,-41,-34,0
1,-37,-41,-34,0
1,-37,-42,-35,0
1,-38,-41,-34,0
1,-37,-41,-32,0
1,-37,-41,-32,0
1,-37,-41,-32,0
1,-38,-43,-33,0
1,-38,-41,-32,0
1,-37,-41,-31,0
1,-37,-41,-32,0
1,-37,-41,-31,0
1,-37,-41,-34,0
1,-37,-41,-34,0
1,-37,-41,-31,0
1,-37,-42,-32,0
1,-37,-41,-31,0
1,-37,-41,-35,0
1,-37,-41,-32,0
1,-37,-42,-34,0
1,-38,-41,-32,0
1,-37,-41,-32,0
1,-37,-41,-34,0
1,-37,-42,-32,0
1,-37,-41,-32,0
1,-37,-41,-32,0
1,-37,-41,-34,0
1,-37,-41,-32,0
1,-38,-41,-34,0
2,-37,-41,-31,0
2,-37,-42,-32,0
2,-37,-41,-34,0
2,-37,-41,-32,0
2,-37,-42,-35,0
2,-37,-41,-32,0
2,-37,-41,-34,0
2,-37,-41,-32,0
2,-36,-41,-32,0
2,-37,-41,-34,0
2,-37,-41,-34,0
2,-37,-41,-32,0
2,-38,-41,-32,0
2,-38,-42,-32,0
2,-38,-41,-32,0
2,-37,-41,-34,0
2,-38,-41,-32,0
2,-37,-41,-31,0
2,-38,-42,-32,0
2,-37,-42,-34,0
2,-37,-42,-31,0
2,-38,-42,-32,0
2,-38,-42,-34,0
2,-38,-42,-31,0
2,-37,-41,-34,0
2,-37,-42,-32,0
2,-37,-42,-34,0
2,-37,-42,-34,0
2,-38,-42,-32,0
2,-37,-41,-32,0
2,-37,-42,-34,0
2,-37,-42,-32,0
2,-37,-42,-32,0
2,-37,-42,-32,0
2,-37,-42,-32,0
2,-37,-42,-34,0
2,-37,-42,-32,0
2,-37,-42,-34,0
2,-38,-42,-32,0
2,-37,-42,-32,0
2,-37,-43,-32,0
2,-37,-42,-32,0
2,-38,-42,-34,0
2,-37,-43,-34,0
2,-38,-42,-32,0
2,-38,-42,-32,0
2,-37,-43,-32,0
2,-37,-42,-34,0
2,-37,-42,-34,0
2,-37,-42,-34,0
2,-38,-43,-34,0
2,-37,-43,-32,0
2,-38,-42,-32,0
2,-37,-42,-32,0
2,-38,-42,-32,0
2,-38,-43,-32,0
2,-37,-42,-32,0
2,-38,-43,-32,0
2,-37,-42,-32,0
2,-38,-42,-34,0
2,-37,-43,-32,0
2,-37,-42,-34,0
2,-38,-42,-32,0
2,-37,-42,-32,0
2,-37,-43,-32,0
2,-37,-42,-32,0
2,-37,-42,-32,0
2,-37,-42,-34,0
2,-38,-42,-32,0
2,-37,-42,-32,0
3,-37,-42,-31,0
3,-37,-42,-32,0
3,-38,-41,-31,0
3,-38,-42,-34,0
3,-38,-42,-31,0
3,-37,-42,-31,0
3,-37,-42,-32,0
3,-37,-42,-32,0
3,-37,-42,-34,0
3,-37,-42,-34,0
3,-37,-42,-32,0
3,-37,-42,-35,0
3,-38,-42,-34,0
3,-37,-42,-34,0
3,-37,-42,-32,0
3,-37,-42,-32,0
3,-37,-43,-35,0
3,-37,-42,-34,0
3,-37,-42,-32,0
3,-38,-42,-34,0
3,-37,-42,-32,0
3,-37,-42,-32,0
3,-38,-42,-32,0
3,-37,-42,-32,0
3,-37,-42,-32,0
3,-37,-42,-35,0
3,-38,-42,-32,0
3,-37,-42,-32,0
3,-37,-42,-32,0
3,-38,-42,-32,0
3,-37,-42,-32,0
3,-37,-42,-32,0
3,-37,-42,-32,0
