Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-45,-36,-32,0
1,-45,-37,-29,0
1,-45,-36,-30,0
1,-45,-36,-30,0
1,-45,-36,-30,0
1,-45,-36,-29,0
1,-44,-36,-29,0
1,-45,-36,-30,0
1,-45,-36,-30,0
1,-45,-36,-30,0
1,-44,-36,-30,0
1,-47,-38,-32,0
1,-46,-36,-29,0
1,-46,-36,-29,0
1,-46,-36,-29,0
1,-46,-37,-28,0
1,-45,-37,-28,0
1,-46,-37,-29,0
1,-46,-36,-29,0
1,-46,-37,-29,0
1,-46,-36,-29,0
1,-45,-36,-29,0
1,-44,-36,-30,0
1,-45,-36,-29,0
1,-45,-37,-29,0
2,-44,-36,-29,0
2,-45,-36,-29,0
2,-45,-36,-30,0
2,-45,-36,-29,0
2,-46,-36,-29,0
2,-44,-36,-29,0
2,-44,-36,-30,0
2,-45,-36,-29,0
2,-46,-36,-30,0
2,-46,-36,-29,0
2,-46,-36,-29,0
2,-46,-36,-29,0
2,-45,-37,-30,0
2,-45,-36,-30,0
2,-45,-36,-30,0
2,-46,-36,-30,0
2,-45,-36,-29,0
2,-46,-36,-29,0
2,-46,-36,-29,0
2,-46,-36,-29,0
2,-44,-37,-29,0
2,-45,-37,-29,0
2,-44,-36,-29,0
2,-45,-37,-29,0
2,-45,-36,-29,0
2,-45,-36,-29,0
2,-46,-36,-29,0
2,-45,-37,-29,0
2,-46,-36,-29,0
2,-45,-36,-29,0
2,-46,-38,-29,0
2,-44,-36,-28,0
2,-45,-36,-29,0
2,-46,-36,-30,0
2,-45,-36,-29,0
2,-47,-37,-30,0
2,-47,-37,-29,0
2,-46,-36,-29,0
2,-46,-36,-30,0
2,-45,-36,-29,0
2,-47,-36,-30,0
2,-46,-37,-29,0
2,-46,-36,-29,0
2,-46,-38,-29,0
2,-46,-37,-29,0
2,-46,-36,-29,0
3,-46,-37,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-45,-37,-29,0
3,-46,-37,-29,0
3,-46,-36,-29,0
3,-46,-37,-29,0
3,-47,-36,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-47,-37,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-46,-36,-29,0
3,-46,-37,-30,0
3,-46,-37,-29,0
3,-46,-36,-29,0
3,-47,-37,-29,0
3,-46,-36,-29,0
3,-47,-37,-29,0
3,-47,-37,-29,0
3,-46,-36,-29,0
3,-47,-37,-29,0
3,-47,-37,-29,0
3,-46,-36,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-45,-37,-29,0
3,-46,-36,-29,0
3,-47,-37,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-46,-37,-29,0
3,-46,-36,-31,0
3,-46,-36,-29,0
3,-47,-36,-29,0
3,-46,-36,-29,0
3,-46,-36,-29,0
3,-46,-38,-29,0
4,-46,-37,-30,0
4,-45,-37,-29,0
4,-47,-37,-29,0
4,-47,-37,-29,0
4,-47,-37,-29,0
4,-47,-37,-29,0
4,-48,-36,-29,0
4,-49,-37,-31,0
4,-47,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-45,-37,-29,0
4,-47,-37,-29,0
4,-47,-36,-29,0
4,-47,-37,-29,0
4,-46,-36,-29,0
4,-47,-36,-29,0
4,-47,-37,-29,0
4,-45,-36,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-36,-29,0
4,-45,-37,-31,0
4,-45,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-32,0
4,-47,-37,-29,0
4,-46,-38,-29,0
4,-46,-37,-29,0
4,-45,-36,-29,0
4,-47,-38,-31,0
4,-46,-37,-29,0
4,-46,-38,-29,0
4,-45,-37,-29,0
4,-45,-37,-31,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-46,-37,-29,0
4,-45,-37,-29,0
4,-46,-36,-29,0
4,-46,-37,-29,0
5,-45,-37,-29,0
5,-45,-36,-29,0
5,-45,-36,-30,0
5,-45,-37,-29,0
5,-45,-36,-30,0
5,-45,-37,-29,0
5,-45,-37,-29,0
5,-45,-36,-30,0
5,-45,-37,-29,0
5,-45,-37,-29,0
5,-45,-37,-30,0
5,-45,-36,-30,0
5,-45,-37,-29,0
5,-46,-37,-29,0
5,-46,-36,-29,0
5,-46,-37,-29,0
5,-46,-37,-29,0
5,-47,-37,-30,0
5,-45,-37,-30,0
5,-44,-37,-29,0
5,-45,-38,-30,0
5,-45,-36,-29,0
5,-45,-37,-29,0
5,-45,-36,-29,0
5,-46,-36,-32,0
5,-45,-36,-30,0
5,-46,-36,-29,0
5,-45,-37,-31,0
5,-46,-37,-29,0
5,-48,-36,-29,0
5,-47,-36,-29,0
5,-47,-36,-29,0
5,-47,-36,-29,0
5,-48,-37,-29,0
5,-48,-38,-30,0
5,-48,-36,-29,0
5,-47,-37,-30,0
5,-47,-37,-29,0
5,-47,-37,-29,0
5,-47,-36,-30,0
5,-47,-36,-30,0
5,-47,-37,-31,0
5,-48,-36,-29,0
5,-48,-37,-30,0
5,-47,-37,-29,0
5,-48,-36,-30,0
6,-48,-37,-29,0
6,-47,-36,-29,0
6,-47,-37,-29,0
6,-47,-37,-30,0
6,-47,-36,-29,0
6,-47,-37,-29,0
6,-47,-36,-29,0
6,-47,-38,-29,0
6,-47,-37,-30,0
6,-47,-37,-29,0
6,-47,-36,-29,0
6,-47,-37,-29,0
6,-47,-37,-29,0
6,-47,-37,-29,0
6,-47,-37,-30,0
6,-47,-37,-29,0
6,-47,-37,-29,0
6,-48,-37,-29,0
6,-48,-37,-29,0
6,-48,-36,-29,0
6,-48,-37,-30,0
6,-48,-37,-29,0
6,-48,-37,-30,0
6,-47,-36,-29,0
6,-47,-37,-29,0
6,-47,-37,-30,0
6,-47,-38,-29,0
6,-47,-37,-29,0
6,-48,-36,-30,0
6,-47,-36,-29,0
6,-48,-36,-29,0
6,-47,-36,-29,0
6,-46,-36,-29,0
6,-46,-37,-30,0
6,-47,-37,-29,0
6,-46,-37,-30,0
6,-46,-37,-30,0
6,-47,-37,-30,0
6,-47,-36,-30,0
6,-46,-37,-30,0
6,-47,-36,-30,0
6,-47,-37,-29,0
6,-46,-37,-30,0
6,-47,-36,-31,0
6,-46,-37,-29,0
6,-46,-37,-29,0
6,-47,-37,-29,0
7,-47,-37,-30,0
7,-48,-36,-29,0
7,-47,-37,-30,0
7,-47,-37,-29,0
7,-48,-37,-30,0
7,-47,-37,-29,0
7,-48,-37,-29,0
7,-48,-37,-29,0
7,-48,-37,-30,0
7,-47,-37,-29,0
7,-48,-36,-29,0
7,-48,-37,-29,0
7,-48,-37,-29,0
7,-47,-37,-29,0
7,-47,-36,-30,0
7,-47,-37,-30,0
7,-48,-36,-29,0
7,-48,-36,-29,0
7,-47,-37,-29,0
7,-48,-36,-30,0
7,-47,-37,-29,0
7,-48,-37,-30,0
7,-48,-36,-30,0
7,-48,-37,-29,0
7,-48,-37,-30,0
7,-48,-37,-30,0
7,-48,-36,-30,0
7,-48,-37,-29,0
7,-48,-37,-30,0
7,-48,-37,-29,0
7,-47,-36,-29,0
7,-47,-37,-30,0
7,-47,-36,-30,0
7,-47,-37,-30,0
7,-47,-37,-30,0
7,-46,-37,-30,0
7,-46,-37,-30,0
7,-46,-37,-30,0
7,-47,-37,-29,0
7,-48,-38,-29,0
7,-48,-37,-30,0
7,-48,-36,-31,0
7,-48,-37,-30,0
7,-48,-37,-29,0
7,-48,-38,-30,0
7,-48,-37,-30,0
1,-47,-47,-28,1
1,-46,-47,-28,1
1,-46,-48,-28,1
1,-46,-48,-28,1
1,-47,-47,-28,1
1,-46,-48,-28,1
1,-46,-47,-28,1
1,-47,-47,-28,1
1,-47,-48,-28,1
1,-47,-48,-28,1
1,-47,-48,-28,1
1,-47,-48,-28,1
1,-47,-49,-28,1
1,-46,-49,-28,1
1,-46,-48,-29,1
1,-47,-48,-28,1
1,-46,-47,-27,1
1,-48,-48,-29,1
1,-47,-48,-29,1
1,-48,-47,-28,1
1,-48,-49,-28,1
1,-47,-47,-28,1
1,-47,-48,-28,1
1,-47,-48,-29,1
1,-47,-49,-29,1
1,-47,-49,-28,1
1,-47,-48,-28,1
1,-47,-50,-28,1
1,-47,-50,-28,1
1,-47,-49,-29,1
1,-47,-49,-28,1
1,-47,-49,-28,1
1,-48,-50,-28,1
1,-48,-49,-29,1
1,-48,-50,-29,1
1,-48,-50,-28,1
1,-48,-50,-28,1
1,-48,-49,-28,1
1,-48,-49,-29,1
1,-48,-49,-28,1
1,-48,-49,-28,1
1,-48,-49,-28,1
1,-48,-49,-29,1
1,-48,-49,-29,1
2,-48,-49,-28,1
2,-47,-49,-29,1
2,-47,-49,-28,1
2,-47,-50,-28,1
2,-47,-50,-28,1
2,-48,-49,-28,1
2,-47,-49,-29,1
2,-48,-50,-28,1
2,-47,-49,-29,1
2,-47,-49,-29,1
2,-48,-49,-28,1
2,-48,-50,-29,1
2,-48,-50,-28,1
2,-48,-50,-28,1
2,-48,-50,-29,1
2,-48,-50,-29,1
2,-48,-50,-28,1
2,-48,-49,-28,1
2,-48,-50,-28,1
2,-48,-50,-29,1
2,-48,-49,-29,1
2,-47,-50,-28,1
2,-48,-49,-28,1
2,-48,-49,-28,1
2,-48,-50,-28,1
