Tile No,Receiver 1,Receiver 2,Receiver 3,Human Presence
1,-46,-36,-48,TRUE
1,-47,-36,-48,TRUE
1,-47,-36,-48,TRUE
1,-48,-37,-47,TRUE
1,-49,-37,-48,TRUE
1,-48,-36,-48,TRUE
1,-50,-36,-47,TRUE
1,-48,-36,-55,TRUE
1,-48,-36,-52,TRUE
1,-48,-36,-49,TRUE
1,-48,-36,-49,TRUE
1,-49,-36,-48,TRUE
1,-48,-36,-50,TRUE
1,-48,-36,-50,TRUE
1,-49,-41,-54,TRUE
1,-50,-40,-45,TRUE
1,-45,-39,-44,TRUE
1,-49,-39,-44,TRUE
1,-49,-40,-43,TRUE
1,-50,-39,-44,TRUE
1,-54,-41,-46,TRUE
1,-54,-42,-46,TRUE
1,-57,-42,-47,TRUE
1,-52,-40,-46,TRUE
1,-49,-38,-46,TRUE
1,-44,-39,-45,TRUE
1,-50,-38,-44,TRUE
1,-51,-37,-44,TRUE
1,-51,-38,-44,TRUE
1,-51,-37,-44,TRUE
1,-51,-38,-44,TRUE
1,-52,-38,-43,TRUE
1,-52,-38,-43,TRUE
1,-51,-37,-44,TRUE
1,-53,-38,-43,TRUE
1,-51,-39,-43,TRUE
1,-52,-39,-44,TRUE
1,-52,-39,-43,TRUE
1,-50,-41,-45,TRUE
1,-46,-38,-44,TRUE
1,-54,-40,-45,TRUE
1,-53,-40,-45,TRUE
1,-49,-42,-52,TRUE
1,-47,-40,-52,TRUE
1,-47,-40,-52,TRUE
2,-47,-42,-44,TRUE
2,-39,-45,-53,TRUE
2,-40,-42,-52,TRUE
2,-40,-41,-52,TRUE
2,-40,-42,-47,TRUE
2,-40,-42,-51,TRUE
2,-40,-40,-52,TRUE
2,-40,-42,-49,TRUE
2,-41,-42,-51,TRUE
2,-40,-45,-47,TRUE
2,-42,-43,-48,TRUE
2,-41,-43,-48,TRUE
2,-41,-42,-47,TRUE
2,-41,-43,-47,TRUE
2,-41,-42,-47,TRUE
2,-41,-40,-42,TRUE
2,-41,-42,-46,TRUE
2,-41,-41,-53,TRUE
2,-40,-40,-45,TRUE
2,-41,-41,-44,TRUE
2,-41,-41,-45,TRUE
2,-41,-41,-43,TRUE
2,-41,-40,-46,TRUE
2,-40,-40,-42,TRUE
2,-40,-42,-43,TRUE
2,-41,-40,-43,TRUE
2,-41,-41,-43,TRUE
2,-41,-42,-51,TRUE
2,-44,-44,-50,TRUE
2,-39,-39,-49,TRUE
2,-40,-42,-54,TRUE
2,-41,-42,-48,TRUE
2,-41,-43,-48,TRUE
2,-40,-38,-44,TRUE
2,-39,-42,-47,TRUE
2,-41,-42,-50,TRUE
2,-42,-41,-48,TRUE
2,-40,-40,-47,TRUE
2,-40,-42,-50,TRUE
2,-42,-42,-46,TRUE
2,-38,-40,-54,TRUE
2,-41,-42,-56,TRUE
2,-41,-42,-49,TRUE
2,-40,-41,-50,TRUE
2,-40,-42,-56,TRUE
2,-41,-43,-49,TRUE
3,-40,-39,-43,TRUE
3,-38,-38,-41,TRUE
3,-38,-38,-41,TRUE
3,-38,-38,-40,TRUE
3,-39,-38,-41,TRUE
3,-39,-37,-41,TRUE
3,-39,-38,-41,TRUE
3,-38,-38,-41,TRUE
3,-38,-36,-42,TRUE
3,-38,-39,-41,TRUE
3,-39,-39,-40,TRUE
3,-38,-39,-41,TRUE
3,-38,-39,-40,TRUE
3,-39,-39,-41,TRUE
3,-39,-39,-40,TRUE
3,-38,-37,-40,TRUE
3,-39,-37,-41,TRUE
3,-38,-38,-40,TRUE
3,-38,-36,-41,TRUE
3,-38,-40,-40,TRUE
3,-38,-40,-40,TRUE
3,-37,-40,-45,TRUE
3,-38,-39,-49,TRUE
3,-38,-38,-42,TRUE
3,-38,-39,-43,TRUE
3,-38,-39,-42,TRUE
3,-38,-46,-41,TRUE
3,-40,-43,-40,TRUE
3,-39,-45,-37,TRUE
3,-38,-46,-38,TRUE
3,-43,-47,-39,TRUE
3,-44,-45,-39,TRUE
3,-41,-45,-39,TRUE
3,-40,-42,-40,TRUE
3,-37,-41,-43,TRUE
3,-38,-43,-38,TRUE
3,-37,-40,-41,TRUE
3,-37,-40,-43,TRUE
3,-37,-40,-43,TRUE
3,-37,-41,-44,TRUE
