Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-38,-42,-33,0
1,-37,-43,-34,0
1,-37,-43,-34,0
1,-38,-42,-33,0
1,-37,-44,-31,0
1,-38,-40,-32,0
1,-36,-45,-32,0
1,-37,-43,-33,0
1,-37,-42,-34,0
1,-37,-42,-32,0
1,-37,-41,-33,0
1,-38,-43,-34,0
1,-37,-43,-35,0
1,-37,-42,-34,0
1,-37,-42,-32,0
1,-37,-42,-32,0
1,-37,-43,-34,0
1,-37,-42,-32,0
1,-37,-42,-33,0
1,-37,-44,-32,0
1,-37,-41,-29,0
1,-37,-43,-33,0
1,-37,-42,-32,0
1,-37,-43,-36,0
1,-37,-43,-33,0
1,-38,-42,-32,0
1,-36,-41,-33,0
1,-37,-41,-31,0
1,-38,-43,-34,0
1,-38,-42,-31,0
1,-37,-43,-36,0
1,-37,-43,-33,0
1,-37,-42,-32,0
1,-37,-42,-32,0
1,-37,-41,-32,0
1,-37,-42,-35,0
1,-37,-42,-32,0
1,-38,-43,-33,0
1,-37,-43,-32,0
1,-38,-42,-30,0
1,-37,-43,-33,0
1,-38,-42,-33,0
1,-37,-43,-31,0
1,-37,-42,-31,0
1,-37,-43,-33,0
1,-37,-43,-34,0
1,-37,-42,-32,0
1,-37,-42,-34,0
1,-38,-43,-31,0
1,-37,-42,-30,0
1,-38,-42,-33,0
1,-37,-44,-30,0
1,-37,-43,-32,0
1,-37,-42,-32,0
1,-37,-42,-33,0
1,-37,-40,-36,0
1,-37,-41,-32,0
1,-37,-42,-32,0
1,-37,-43,-35,0
1,-37,-42,-33,0
1,-37,-43,-32,0
1,-37,-41,-32,0
1,-37,-41,-34,0
1,-37,-42,-33,0
1,-37,-43,-36,0
1,-37,-42,-31,0
1,-38,-42,-34,0
1,-37,-42,-32,0
1,-38,-42,-32,0
1,-36,-41,-33,0
1,-38,-42,-32,0
1,-37,-41,-33,0
1,-38,-42,-33,0
1,-37,-43,-30,0
1,-38,-42,-34,0
1,-38,-42,-32,0
1,-37,-43,-33,0
1,-38,-42,-32,0
1,-36,-41,-33,0
1,-37,-42,-31,0
1,-37,-43,-33,0
1,-37,-43,-32,0
1,-37,-41,-33,0
1,-37,-42,-31,0
1,-37,-43,-33,0
1,-37,-41,-35,0
1,-37,-41,-34,0
1,-37,-42,-33,0
1,-37,-44,-32,0
1,-37,-42,-33,0
1,-38,-43,-33,0
1,-37,-43,-33,0
1,-37,-42,-34,0
1,-37,-43,-31,0
1,-38,-42,-35,0
1,-37,-43,-32,0
1,-37,-43,-32,0
1,-38,-41,-33,0
1,-37,-43,-32,0
1,-37,-42,-33,0
1,-37,-41,-33,0
1,-37,-43,-33,0
1,-37,-43,-31,0
1,-38,-42,-33,0
1,-37,-44,-33,0
1,-37,-43,-32,0
1,-37,-43,-34,0
1,-37,-42,-30,0
1,-36,-41,-35,0
1,-38,-43,-32,0
1,-37,-41,-35,0
1,-37,-43,-33,0
1,-38,-42,-32,0
1,-36,-43,-32,0
1,-37,-41,-34,0
1,-37,-42,-34,0
1,-37,-42,-31,0
1,-38,-42,-32,0
1,-37,-42,-31,0
1,-36,-42,-33,0
1,-38,-44,-33,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-37,-43,-33,0
1,-37,-43,-33,0
1,-37,-42,-34,0
1,-37,-41,-31,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-37,-41,-32,0
1,-38,-42,-32,0
1,-37,-42,-33,0
1,-37,-43,-34,0
1,-37,-42,-32,0
1,-37,-42,-34,0
1,-37,-43,-34,0
1,-38,-43,-33,0
1,-38,-43,-32,0
1,-37,-41,-31,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-38,-42,-32,0
1,-38,-41,-30,0
1,-38,-42,-35,0
1,-38,-43,-32,0
1,-37,-42,-33,0
1,-37,-42,-34,0
1,-37,-44,-34,0
1,-37,-43,-32,0
1,-37,-42,-32,0
1,-37,-43,-33,0
1,-37,-42,-34,0
1,-37,-41,-33,0
1,-37,-43,-34,0
1,-37,-42,-30,0
1,-37,-42,-34,0
1,-37,-42,-34,0
1,-37,-41,-33,0
1,-37,-40,-31,0
1,-37,-42,-31,0
1,-38,-41,-34,0
1,-37,-42,-35,0
1,-36,-41,-32,0
1,-37,-43,-32,0
1,-38,-44,-32,0
1,-37,-42,-34,0
1,-37,-41,-33,0
1,-37,-43,-34,0
1,-37,-42,-33,0
1,-38,-42,-33,0
1,-37,-41,-33,0
1,-38,-44,-34,0
1,-38,-42,-33,0
1,-37,-41,-32,0
1,-37,-42,-33,0
1,-38,-44,-33,0
1,-37,-42,-34,0
1,-37,-42,-34,0
1,-37,-43,-35,0
1,-37,-40,-31,0
1,-38,-42,-32,0
1,-37,-43,-33,0
1,-37,-43,-31,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-38,-43,-33,0
1,-37,-43,-32,0
1,-38,-41,-33,0
1,-37,-43,-32,0
1,-37,-43,-34,0
1,-37,-43,-32,0
1,-38,-42,-32,0
1,-37,-43,-32,0
1,-38,-42,-33,0
1,-37,-41,-31,0
1,-37,-42,-31,0
1,-37,-42,-33,0
1,-37,-43,-29,0
1,-37,-42,-32,0
1,-37,-42,-32,0
1,-37,-43,-34,0
1,-38,-42,-32,0
1,-37,-42,-33,0
1,-38,-43,-34,0
1,-38,-43,-32,0
1,-37,-44,-33,0
1,-37,-43,-31,0
1,-37,-42,-33,0
1,-37,-43,-32,0
1,-37,-43,-31,0
1,-36,-41,-32,0
1,-38,-42,-31,0
1,-37,-41,-32,0
1,-38,-43,-32,0
1,-38,-42,-34,0
1,-37,-42,-31,0
1,-37,-42,-32,0
1,-38,-43,-32,0
1,-38,-42,-32,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-38,-42,-32,0
1,-37,-42,-32,0
1,-37,-43,-33,0
1,-37,-43,-33,0
1,-36,-41,-30,0
1,-36,-42,-32,0
1,-38,-43,-31,0
1,-37,-42,-34,0
1,-36,-42,-34,0
1,-38,-42,-33,0
1,-37,-42,-36,0
1,-37,-43,-33,0
1,-37,-42,-35,0
1,-37,-42,-32,0
1,-37,-42,-34,0
1,-37,-42,-32,0
1,-37,-43,-33,0
1,-37,-42,-32,0
1,-37,-43,-32,0
1,-37,-42,-33,0
1,-37,-41,-33,0
1,-38,-42,-31,0
1,-36,-42,-32,0
1,-37,-42,-32,0
1,-37,-42,-32,0
1,-38,-41,-32,0
1,-37,-41,-32,0
1,-37,-42,-32,0
1,-37,-43,-32,0
1,-38,-43,-32,0
1,-37,-42,-34,0
1,-38,-43,-32,0
1,-37,-43,-32,0
1,-37,-41,-31,0
1,-37,-41,-34,0
1,-37,-42,-33,0
1,-37,-42,-30,0
1,-37,-41,-31,0
1,-38,-41,-32,0
1,-37,-42,-33,0
1,-38,-43,-33,0
1,-37,-42,-33,0
1,-37,-43,-32,0
1,-37,-42,-32,0
1,-37,-43,-30,0
1,-37,-43,-31,0
1,-37,-41,-33,0
1,-36,-43,-32,0
1,-37,-41,-32,0
1,-37,-43,-33,0
1,-37,-42,-33,0
1,-37,-42,-31,0
1,-37,-43,-32,0
1,-37,-43,-31,0
1,-37,-43,-33,0
1,-37,-44,-33,0
1,-37,-43,-33,0
1,-36,-44,-34,0
1,-37,-43,-32,0
1,-37,-43,-31,0
1,-37,-43,-33,0
1,-37,-44,-35,0
1,-38,-42,-32,0
1,-37,-42,-33,0
1,-37,-41,-32,0
1,-38,-42,-36,0
1,-36,-42,-32,0
1,-36,-43,-34,0
1,-37,-44,-33,0
1,-37,-43,-32,0
1,-38,-43,-33,0
1,-38,-42,-33,0
1,-37,-43,-34,0
1,-37,-42,-35,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-38,-42,-33,0
1,-37,-44,-34,0
1,-37,-42,-31,0
1,-37,-43,-33,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-37,-44,-33,0
1,-37,-42,-32,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-37,-43,-35,0
1,-37,-41,-31,0
1,-37,-41,-31,0
1,-37,-43,-32,0
1,-37,-42,-31,0
1,-38,-42,-35,0
1,-37,-43,-33,0
1,-38,-42,-32,0
1,-38,-42,-32,0
1,-37,-43,-31,0
1,-37,-43,-34,0
1,-38,-42,-32,0
1,-37,-43,-33,0
1,-36,-41,-33,0
1,-38,-42,-32,0
1,-37,-42,-31,0
1,-39,-41,-33,0
1,-38,-41,-33,0
1,-37,-43,-33,0
1,-37,-42,-33,0
1,-37,-43,-31,0
1,-37,-43,-35,0
1,-37,-42,-34,0
1,-36,-42,-34,0
1,-36,-42,-31,0
1,-37,-42,-34,0
1,-37,-43,-32,0
1,-37,-42,-34,0
1,-37,-41,-33,0
1,-37,-43,-32,0
1,-37,-42,-33,0
1,-37,-43,-32,0
1,-37,-42,-33,0
1,-38,-43,-34,0
1,-37,-41,-31,0
1,-38,-42,-31,0
1,-37,-42,-33,0
1,-38,-42,-34,0
1,-37,-43,-32,0
1,-37,-40,-33,0
1,-37,-41,-33,0
1,-37,-40,-34,0
1,-37,-43,-33,0
1,-37,-43,-33,0
1,-37,-42,-33,0
1,-37,-43,-33,0
1,-38,-42,-32,0
1,-37,-43,-34,0
1,-37,-42,-33,0
1,-37,-42,-32,0
1,-37,-42,-31,0
1,-37,-42,-34,0
1,-37,-42,-31,0
1,-37,-41,-31,0
1,-37,-43,-33,0
1,-38,-41,-33,0
1,-38,-43,-33,0
1,-37,-43,-33,0
1,-37,-42,-35,0
1,-37,-42,-34,0
1,-37,-42,-34,0
1,-37,-41,-31,0
1,-38,-41,-33,0
1,-38,-42,-32,0
1,-37,-41,-33,0
1,-37,-44,-33,0
1,-37,-42,-33,0
1,-37,-43,-33,0
1,-37,-42,-32,0
1,-37,-42,-33,0
1,-37,-42,-33,0
1,-36,-42,-31,0
1,-37,-42,-33,0
1,-38,-43,-32,0
1,-37,-43,-31,0
1,-37,-43,-32,0
1,-37,-43,-34,0
1,-37,-43,-32,0
1,-37,-42,-32,0
1,-37,-42,-34,0
1,-37,-42,-34,0
1,-37,-43,-32,0
